element_id,player,position,club,player_cost,value_ratio,global_ownership,global_captain_percent,league_ownership,league_captain_percent,league_owner_count,league_owners,points_gw,minutes,status,opponent_team,kickoff_time,fixture_started,fixture_finished
1,David Raya Martín,GK,Arsenal,5.5,1.82,18.4,5.0,0,0,0,,10,90,played,Man Utd,2025-08-17T15:30:00Z,True,True
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,4.5,0.0,0.9,3.3,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
3,Karl Hein,GK,Arsenal,4.0,0.0,0.6,2.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
4,Tommy Setford,GK,Arsenal,4.0,0.0,0.2,2.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
5,Gabriel dos Santos Magalhães,DEF,Arsenal,6.0,1.0,19.0,5.0,25.0,0.0,5,Joe Curran; Evan Bagheri; Dean Maghsadi; Nate Cohen; Brett Swikle,6,90,played,Man Utd,2025-08-17T15:30:00Z,True,True
6,William Saliba,DEF,Arsenal,6.0,1.5,15.2,5.0,5.0,0.0,1,Nate Cohen,9,90,played,Man Utd,2025-08-17T15:30:00Z,True,True
7,Riccardo Calafiori,DEF,Arsenal,5.5,2.36,2.0,4.3,5.0,0.0,1,Andrew Vidal,13,71,played,Man Utd,2025-08-17T15:30:00Z,True,True
8,Jurriën Timber,DEF,Arsenal,5.5,0.0,2.2,4.3,0,0,0,,0,19,played,Man Utd,2025-08-17T15:30:00Z,True,True
9,Jakub Kiwior,DEF,Arsenal,5.5,0.0,0.1,4.3,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
10,Myles Lewis-Skelly,DEF,Arsenal,5.5,0.0,4.2,4.3,0,0,0,,0,18,played,Man Utd,2025-08-17T15:30:00Z,True,True
11,Benjamin White,DEF,Arsenal,5.5,1.09,0.9,4.3,0,0,0,,6,70,played,Man Utd,2025-08-17T15:30:00Z,True,True
12,Oleksandr Zinchenko,DEF,Arsenal,5.0,0.0,0.4,3.6,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
13,Brayden Clarke,DEF,Arsenal,4.0,0.0,0.6,2.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
14,Maldini Kacurri,DEF,Arsenal,4.0,0.0,0.2,2.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
15,Josh Nichols,DEF,Arsenal,4.0,0.0,0.2,2.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
16,Bukayo Saka,MID,Arsenal,10.0,0.3,16.8,4.0,25.0,0.0,5,Garrett Kunkel; JP Fischer; Adrian McLoughlin; John Matthew; Dean Maghsadi,3,90,played,Man Utd,2025-08-17T15:30:00Z,True,True
17,Martin Ødegaard,MID,Arsenal,8.0,0.62,3.7,3.6,5.0,0.0,1,Nate Cohen,5,90,played,Man Utd,2025-08-17T15:30:00Z,True,True
18,Noni Madueke,MID,Arsenal,7.0,0.14,1.1,3.3,0,0,0,,1,30,played,Man Utd,2025-08-17T15:30:00Z,True,True
19,Gabriel Martinelli Silva,MID,Arsenal,7.0,0.14,1.5,3.3,5.0,0.0,1,JP Fischer,1,59,played,Man Utd,2025-08-17T15:30:00Z,True,True
20,Leandro Trossard,MID,Arsenal,7.0,0.0,0.3,3.3,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
21,Declan Rice,MID,Arsenal,6.5,0.92,8.0,3.2,0,0,0,,6,82,played,Man Utd,2025-08-17T15:30:00Z,True,True
22,Mikel Merino Zazón,MID,Arsenal,6.0,0.17,0.6,3.1,0,0,0,,1,7,played,Man Utd,2025-08-17T15:30:00Z,True,True
23,Fábio Ferreira Vieira,MID,Arsenal,5.5,0.0,0.0,3.0,0,0,0,,0,0,dnp,Man Utd,2025-08-17T15:30:00Z,True,True
