entry_id,entry_team_name,manager_name,gameweek,element_id,player,position,club,player_cost,value_ratio,global_ownership,global_captain_percent,multiplier,is_captain,is_vice_captain,points_gw,points_applied,minutes,status,opponent_team,kickoff_time,fixture_started,fixture_finished
62221,Wirtz Case Scenario,John Sebastian,2,470,Martin Dúbravka,GK,Burnley,4.0,1.5,34.3,3.5,1,False,False,6,6,90,played,Sunderland,2025-08-23T14:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,402,Rayan Aït-Nouri,DEF,Man City,6.1,0.16,21.3,4.1,1,False,False,1,1,22,played,Spurs,2025-08-23T11:30:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,541,Reinildo Mandava,DEF,Sunderland,4.0,0.75,8.3,4.0,1,False,False,3,3,90,played,Burnley,2025-08-23T14:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,291,James Tarkowski,DEF,Everton,5.5,1.45,6.9,6.0,1,False,False,8,8,90,played,Brighton,2025-08-24T13:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,267,Ismaïla Sarr,MID,Crystal Palace,6.5,1.23,4.7,5.5,1,False,False,8,8,90,played,Nott'm Forest,2025-08-24T13:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,235,Cole Palmer,MID,Chelsea,10.5,0.0,51.5,1.5,1,False,False,0,0,0,dnp,West Ham,2025-08-22T19:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,382,Florian Wirtz,MID,Liverpool,8.5,0.12,26.9,1.5,1,False,False,1,1,2,played,Newcastle,2025-08-25T19:00:00Z,True,False
62221,Wirtz Case Scenario,John Sebastian,2,242,Kiernan Dewsbury-Hall,MID,Everton,5.0,0.4,4.2,2.0,1,False,False,2,2,90,played,Brighton,2025-08-24T13:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,625,Niclas Füllkrug,FWD,West Ham,5.9,0.17,2.7,1.5,1,False,False,1,1,45,played,Chelsea,2025-08-22T19:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,64,Ollie Watkins,FWD,Aston Villa,9.0,0.22,23.3,2.0,1,False,True,2,2,90,played,Brentford,2025-08-23T14:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,430,Erling Haaland,FWD,Man City,14.1,0.14,30.5,8.0,2,True,False,2,4,90,played,Spurs,2025-08-23T11:30:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,502,Matz Sels,GK,Nott'm Forest,5.0,0.4,18.7,2.0,1,False,False,2,2,90,played,Crystal Palace,2025-08-24T13:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,373,Virgil van Dijk,DEF,Liverpool,6.0,0.17,24.6,2.0,1,False,False,1,1,2,played,Newcastle,2025-08-25T19:00:00Z,True,False
62221,Wirtz Case Scenario,John Sebastian,2,575,Micky van de Ven,DEF,Spurs,4.5,1.33,27.9,6.0,1,False,False,6,6,90,played,Man City,2025-08-23T11:30:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,663,Jhon Arias,MID,Wolves,5.4,0.19,0.5,1.0,1,False,False,1,1,55,played,Bournemouth,2025-08-23T14:00:00Z,True,True
62221,Wirtz Case Scenario,John Sebastian,2,,TOTAL,,,100.0,0.46,,,,,,,46,,,,,,
373574,McGinn & Tonic,Garrett Kunkel,2,139,Bart Verbruggen,GK,Brighton,4.5,0.22,7.0,1.0,1,False,False,1,1,90,played,Everton,2025-08-24T13:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,440,Diogo Dalot Teixeira,DEF,Man Utd,4.5,0.22,2.1,1.5,1,False,False,1,1,38,played,Fulham,2025-08-24T15:30:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,260,Marc Guéhi,DEF,Crystal Palace,4.5,0.44,13.3,4.0,1,False,False,2,2,90,played,Nott'm Forest,2025-08-24T13:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,256,Daniel Muñoz Mejía,DEF,Crystal Palace,5.5,0.91,9.0,5.0,1,False,False,5,5,90,played,Nott'm Forest,2025-08-24T13:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,47,Morgan Rogers,MID,Aston Villa,7.0,0.29,9.3,2.5,1,False,False,2,2,90,played,Brentford,2025-08-23T14:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,384,Cody Gakpo,MID,Liverpool,7.5,0.13,8.7,4.0,1,False,False,1,1,2,played,Newcastle,2025-08-25T19:00:00Z,True,False
373574,McGinn & Tonic,Garrett Kunkel,2,119,Bryan Mbeumo,MID,Man Utd,8.0,0.25,14.7,2.5,1,False,False,2,2,90,played,Fulham,2025-08-24T15:30:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,16,Bukayo Saka,MID,Arsenal,10.0,0.6,15.0,2.0,2,True,False,6,12,52,played,Leeds,2025-08-23T16:30:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,430,Erling Haaland,FWD,Man City,14.1,0.14,30.5,8.0,1,False,True,2,2,90,played,Spurs,2025-08-23T11:30:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,525,Chris Wood,FWD,Nott'm Forest,7.6,0.26,22.1,7.5,1,False,False,2,2,87,played,Crystal Palace,2025-08-24T13:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,249,João Pedro Junqueira de Jesus,FWD,Chelsea,7.5,2.0,55.2,9.0,1,False,False,15,15,90,played,West Ham,2025-08-22T19:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,101,Caoimhín Kelleher,GK,Brentford,4.5,1.11,10.3,3.5,0,False,False,5,0,90,played,Aston Villa,2025-08-23T14:00:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,575,Micky van de Ven,DEF,Spurs,4.5,1.33,27.9,6.0,0,False,False,6,0,90,played,Man City,2025-08-23T11:30:00Z,True,True
373574,McGinn & Tonic,Garrett Kunkel,2,52,Jacob Ramsey,MID,Newcastle,5.5,0.0,0.5,1.0,0,False,False,0,0,0,in_progress,Liverpool,2025-08-25T19:00:00Z,True,False
373574,McGinn & Tonic,Garrett Kunkel,2,477,Tino Livramento,DEF,Newcastle,5.0,0.2,4.5,5.5,0,False,False,1,0,2,played,Liverpool,2025-08-25T19:00:00Z,True,False
373574,McGinn & Tonic,Garrett Kunkel,2,,TOTAL,,,100.19999999999999,0.45,,,,,,,45,,,,,,
394273,Tonali Fan Club,Andrew Vidal,2,565,Guglielmo Vicario,GK,Spurs,5.0,1.8,5.4,9.0,1,False,False,9,9,90,played,Man City,2025-08-23T11:30:00Z,True,True
394273,Tonali Fan Club,Andrew Vidal,2,7,Riccardo Calafiori,DEF,Arsenal,5.6,2.32,6.3,12.5,1,False,False,13,13,63,played,Leeds,2025-08-23T16:30:00Z,True,True
394273,Tonali Fan Club,Andrew Vidal,2,224,Marc Cucurella Saseta,DEF,Chelsea,6.1,0.82,24.1,7.0,1,False,False,5,5,68,played,West Ham,2025-08-22T19:00:00Z,True,True
394273,Tonali Fan Club,Andrew Vidal,2,568,Pedro Porro Sauceda,DEF,Spurs,5.5,0.91,23.0,5.5,1,False,False,5,5,90,played,Man City,2025-08-23T11:30:00Z,True,True
394273,Tonali Fan Club,Andrew Vidal,2,491,Sandro Tonali,MID,Newcastle,5.5,0.18,1.7,2.5,1,False,False,1,1,2,played,Liverpool,2025-08-25T19:00:00Z,True,False
